utc_timestamp,DK_1_price_day_ahead
0,
1,
2,16.04
3,14.6
4,14.95
5,14.5
6,10.76
7,12.01
8,12.39
9,14.04
10,14.68
11,16.08
12,16.08
13,16.05
14,16.04
15,16.1
16,23.93
17,26.9
18,26.36
19,23.98
20,16.09
21,14.08
22,12.44
23,0.04
24,-12.11
25,-19.63
26,-19.37
27,-31.41
28,-31.41
29,-13.48
30,0.08
31,10.06
32,14.25
33,14.56
34,14.64
35,15.08
36,15.41
37,14.52
38,14.7
39,14.66
40,16.09
41,25.1
42,25.06
43,18.34
44,14.26
45,12.22
46,8
47,-0.33
48,-0.08
49,-0.07
50,-5.03
51,0.01
52,-0.04
53,0.03
54,-8.67
55,4.46
56,9.9
57,14.29
58,16.73
59,22.31
60,23.03
61,22.4
62,27.07
63,28.29
64,28.6
65,28.88
66,28.78
67,28.54
68,28.34
69,27.26
70,27.7
71,14.27
72,9.32
73,0.1
74,0.1
75,0.1
76,0.11
77,6.8
78,14.95
79,25.49
80,26.28
81,27.32
82,27.56
83,27.32
84,27.08
85,26.33
86,27.42
87,28.37
88,28.65
89,28.94
90,29.59
91,29.42
92,28.92
93,28.66
94,29.03
95,27.68
96,28.19
97,28.15
98,28.13
99,28.05
100,28.04
101,27.01
102,27.6
103,33.62
104,38.15
105,41.51
106,40.46
107,40.97
108,40.72
109,41.92
110,42
111,43.1
112,46.7
113,56.78
114,58.84
115,49.23
116,44.32
117,35.86
118,32.56
119,30.03
120,30.02
121,29.81
122,29.41
123,27.89
124,27.89
125,28.01
126,29.67
127,30.03
128,30.5
129,30.35
130,30.53
131,29.91
132,29.62
133,29.58
134,29.57
135,29.62
136,29.99
137,29.65
138,29.58
139,29
140,28.45
141,28.15
142,28.08
143,26.97
144,26.35
145,26.08
146,26.03
147,26.17
148,26.1
149,26.84
150,30.07
151,33.17
152,34.1
153,33.28
154,34.08
155,33.63
156,32.76
157,30.65
158,30.31
159,29.79
160,30.72
161,29.56
162,28.84
163,28.2
164,27.75
165,27.42
166,26.7
167,22.11
168,21.92
169,19.35
170,16.11
171,14.93
172,15
173,19.04
174,26.17
175,29.41
176,28.1
177,28.23
178,28.35
179,28.46
180,28.46
181,28.6
182,28.45
183,28.24
184,28.43
185,28.4
186,27.98
187,27.69
188,27.46
189,27.31
190,26.71
191,15.93
192,11.55
193,13.47
194,11.23
195,16
196,16.26
197,19.94
198,24.36
199,29.24
200,27.45
201,27.38
202,27.33
203,27.23
204,27.15
205,27.08
206,27.03
207,27.02
208,27.12
209,27.15
210,27.1
211,27.02
212,26.96
213,26.69
214,21.64
215,14.72
216,21.94
217,25.08
218,20.91
219,20.68
220,21.91
221,12.28
222,7.19
223,9.31
224,11.35
225,15.87
226,15.84
227,14.83
228,15.83
229,14.85
230,11.42
231,11.34
232,14.15
233,17.09
234,18.87
235,13.44
236,15.82
